date,SO2_Avg,CO_Avg,O3_Avg,NO2_Avg,PM10_Avg,PM25_Avg,Temperature_Avg,Temperature_range,Precipitation,Humidity_Avg
2009-07-01,0.0036336946026076437,0.34063572226973027,0.039270369426244456,0.015267762144936158,36.31295598595625,NA,22.7,9.400000000000002,1.4,74
2009-07-02,0.0038320195802030786,0.3943232914134639,0.03392995405188083,0.017151829423348457,49.02220115298333,NA,21.8,8.399999999999999,11.7,80
2009-07-03,0.003623860240810602,0.4277450086167457,0.034880690066592265,0.0169000227903801,55.95273190763181,NA,21.8,8.799999999999997,2.3,77
2009-07-04,0.004317750297047034,0.431944397459472,0.035712955187546816,0.017091377860169735,57.70907784850883,NA,22.5,9.2,2.4,77
2009-07-05,0.004027939628624409,0.4155074070270584,0.03714389823122593,0.0141366552276737,55.02072840316589,NA,23.7,10.100000000000001,0.3,74
2009-07-06,0.004704994827275997,0.44384137454243994,0.03165726348864977,0.01954320486685061,59.45608391235467,NA,24.3,10.2,0.7,73
2009-07-07,0.003472352594304401,0.39913119476740677,0.024375757567138466,0.018892425930814093,38.63980638928029,NA,21.9,5.899999999999999,64.1,88
2009-07-08,0.0046873416980592495,0.43845017956429816,0.027421036879574055,0.019965847674829264,43.67489701183837,NA,25,8.600000000000001,2.6,81
2009-07-09,0.0030616291144011393,0.34630121525198043,0.025626234109993266,0.01359706848207274,35.10204869323123,NA,23.5,6.700000000000003,66.4,86
2009-07-10,0.004288439300679897,0.39848797269263864,0.03858391443192022,0.01709615443929012,42.526162275105264,NA,23.9,10,0.3,73
2009-07-11,0.004939823621401399,0.48792825060825806,0.025702123526453208,0.02436063571818054,58.73056052775998,NA,23.2,8.7,17.6,77
2009-07-12,0.003005238417647838,0.31504241539409483,0.021377291948892842,0.010467201877269973,24.254479095123123,NA,23,6.900000000000002,61.6,89
2009-07-13,0.0033356312363013053,0.3456784532243954,0.022724736810456576,0.013480874307651134,27.793113889987644,NA,24.7,6.900000000000002,9.6,83
2009-07-14,0.0030371505783680923,0.27495028906851227,0.011986667035501069,0.009307135854163002,23.253282298144526,NA,25.7,6.5,48.9,83
2009-07-15,0.0035039197114349226,0.4440042544763234,0.03624925739803667,0.014357394157418126,42.03773348490554,NA,22.6,7.099999999999998,44.7,82
2009-07-16,0.0037715001214971293,0.45675086382597296,0.025891528035641372,0.018960176575778892,42.25925480096473,NA,23.9,7.399999999999999,34.7,84
2009-07-17,0.0040051831244833054,0.4118354764084757,0.014498038931306129,0.019465321767825908,40.96321464710999,NA,25.2,5.300000000000001,16.1,86
2009-07-18,0.0031912834306035086,0.2598543633321651,0.013888284533427511,0.007975150375299363,28.755680063257643,NA,27,5.900000000000002,8.2,77
2009-07-19,0.0037875258521951525,0.4021959439544109,0.030902752394463925,0.01039891788062153,43.35668396093898,NA,25.4,6.599999999999998,11.4,82
2009-07-20,0.005432645610662147,0.5486601860923549,0.019757159314641646,0.02049326970514069,61.40488119319102,NA,25.6,7.199999999999999,1.2,84
2009-07-21,0.004044768742831238,0.4544398385238954,0.028825080068036628,0.016041288413655194,47.90550370328812,NA,25.1,7,26.1,81
2009-07-22,0.00388518088971607,0.4393350593217652,0.03228551486120415,0.01633913691180125,54.25407988338803,NA,23.7,9.099999999999998,0,75
2009-07-23,0.004403195148130004,0.4303902082912484,0.028327959751002184,0.018600709889260665,44.717676844569425,NA,23.3,8.8,1.2,79
2009-07-24,0.00315507780867192,0.3685630984606023,0.02475896007173181,0.015019187066193785,29.088286194381546,NA,22,5.300000000000001,11.3,80
2009-07-25,0.0031711558641202313,0.3299038799810419,0.020200915545904943,0.01258744250634467,18.761706045369827,NA,21.7,5,5.2,82
2009-07-26,0.00355573782682566,0.333889822608726,0.02268895344203536,0.011220332536164777,22.962312195408998,NA,22.9,7.699999999999999,0.6,77
