성별,연령별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Male,40 - 44세,2169132,2201473,2192667,2165148,2139138,2130204,2117845,2164790,2192383,2240870,2279295,2305325,2286346,2248961,2160777,2083256,2023646,1973968,1995884,2042064,2093362,2114237,2096884,2015576,1932538,1840241,1772807,1749423,1763968,1776963,1831873,1897756,1945579,1976166
Male,45 - 49세,1697943,1812161,1924199,2000124,2089417,2142938,2196142,2184842,2166821,2133627,2124531,2089888,2169125,2199587,2241597,2278705,2311564,2281831,2238898,2157304,2085108,2020746,1971513,1993418,2039546,2090810,2111815,2094674,2013926,1931395,1839682,1772705,1749671,1764465
Male,50 - 54세,1261221,1292202,1341081,1436212,1554676,1648729,1770211,1887016,1972536,2085550,2136013,2190098,2180821,2165419,2112259,2107628,2076615,2157585,2183366,2230891,2271703,2299857,2270944,2228682,2148181,2076862,2013340,1964777,1986802,2033034,2084454,2105867,2089414,2009786
Male,55 - 59세,1012176,1047715,1095353,1136993,1174921,1212829,1251007,1297637,1397202,1519137,1608745,1719950,1841582,1932408,2054239,2102223,2163953,2145552,2126847,2080597,2080051,2049149,2130028,2156972,2205104,2246537,2275441,2248195,2207500,2129083,2059531,1997688,1950699,1973433
Male,60 - 64세,901451,920359,923453,928692,930455,951179,986275,1035802,1083119,1126838,1164089,1195750,1243960,1345931,1466124,1554982,1669024,1788387,1877159,1999159,2048214,2110076,2094521,2078682,2036051,2037434,2009459,2090236,2118655,2167664,2209972,2239924,2214985,2176416
Male,65 - 69세,676884,711353,740526,764040,788456,822884,855346,861451,871002,863928,883241,908072,958234,1009632,1059400,1098706,1133201,1178002,1279317,1396152,1484431,1596686,1713880,1802584,1922947,1972882,2035312,2022705,2010216,1972096,1975746,1951358,2031913,2061907
Male,70 - 74세,396315,425721,457420,494667,534440,571360,604560,637772,664268,689761,733285,775208,783053,796175,780645,800334,826425,877165,929580,976852,1016354,1051130,1095557,1193444,1304810,1390409,1498388,1610854,1697940,1814656,1864252,1926203,1916445,1907639
Male,75 - 79세,232732,241516,252637,265655,281091,301667,326089,353244,386793,422066,454917,485151,518840,546349,573514,620799,664618,671162,683099,672023,694038,721066,767865,816218,857758,896068,930166,972590,1064249,1165851,1245841,1345657,1449149,1532252
Male,80세이상,158316,170466,183498,196454,209355,222509,236572,254016,271770,288632,310273,335074,363446,396492,438712,482218,525329,574025,620665,667730,732051,791931,826002,862665,880774,941026,1001651,1057163,1116349,1154398,1225519,1293261,1363724,1478982
Male,80 - 84세,110728,119483,128928,137401,144246,150705,157822,167548,178050,189129,204670,222240,241136,266996,299295,328523,355962,386322,410587,433874,473391,509097,515186,525703,517664,540070,566420,605909,646765,679065,713801,745002,782638,862444
Male,85 - 89세,38111,40967,43798,46981,51536,56685,61896,67954,72981,76453,79849,83433,90390,96002,104270,115958,128560,142392,161308,181442,200205,217674,237658,254009,269926,297245,321506,325669,333208,328179,347650,369460,397359,426197
Male,90 - 94세,8266,8674,9341,10493,11788,13145,14740,16099,17855,19834,22157,25415,27414,28260,29319,30906,32990,37438,40832,44310,49728,55586,62288,71168,80442,89265,97424,107068,115122,123099,137175,149278,150957,154717
Male,95 - 99세,1092,1205,1287,1411,1607,1784,1908,2178,2615,2917,3268,3632,4108,4790,5352,6289,7260,7246,7236,7361,7875,8587,9895,10809,11742,13347,15072,17091,19703,22374,24953,27310,30232,32678
Male,100세 이상,119,137,144,168,178,190,206,237,269,299,329,354,398,444,476,542,557,627,702,743,852,987,975,976,1000,1099,1229,1426,1551,1681,1940,2211,2538,2946
Female_all,계,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25743131,25795803,25834842,25860137,25878498,25896492,25914033,25930843,25946658,25961220,25973827,25981454,25983638,25979369,25968093,25948987,25921581,25885520
Female,0 - 4세,1432527,1354562,1290396,1209243,1132710,1106072,1110359,1098912,1098975,1121917,1130292,1121025,1115412,1114488,1091563,1048855,990466,934982,867726,799341,752710,730379,724257,731837,752709,779926,806544,829799,847115,857752,861331,857769,848917,836882
Female,5 - 9세,1636050,1608093,1568853,1534686,1494147,1420331,1340216,1277896,1197359,1121978,1096153,1100229,1088920,1089368,1113571,1120380,1112213,1106294,1107626,1084111,1041910,984031,929244,862651,794919,748780,726677,720562,728010,748639,775544,801846,824874,842012
Female,10 - 14세,1517638,1557566,1595626,1620883,1630271,1613410,1588438,1554630,1526961,1489332,1418881,1339075,1276349,1193740,1118166,1090502,1094921,1083904,1084844,1108289,1117187,1108748,1102739,1103983,1080409,1038274,980585,926008,859623,792115,746159,724146,718052,725461
Female,15 - 19세,1625789,1536701,1478831,1458955,1465976,1500646,1541647,1580489,1607415,1625599,1614091,1593281,1561263,1537550,1499457,1427984,1348192,1280927,1195879,1119089,1092193,1095419,1083594,1083877,1106662,1114884,1105896,1099511,1100419,1076680,1034622,977127,922836,856701
Female,20 - 24세,1945084,1957691,1914220,1819759,1712887,1607722,1531096,1494654,1484342,1497451,1534260,1576405,1613309,1634084,1656631,1647591,1639906,1608817,1582407,1536816,1456668,1366600,1295979,1207928,1128358,1098573,1098742,1083746,1081440,1102323,1109099,1099277,1092605,1093768
Female,25 - 29세,1965788,1904500,1861144,1862130,1902550,1945164,1959552,1929488,1844351,1755305,1655989,1580535,1544633,1539051,1540583,1576396,1629072,1662127,1685646,1708217,1698056,1680830,1648134,1619874,1572547,1490800,1398746,1325837,1236030,1155008,1124033,1123527,1108628,1106368
Female,30 - 34세,2166319,2187307,2171339,2120294,2045655,1969823,1909544,1864224,1877257,1917946,1963703,1975213,1948719,1856510,1765495,1666377,1599914,1563439,1561193,1564467,1601454,1644622,1678039,1701767,1724396,1714217,1696880,1663884,1635351,1587751,1505804,1413628,1340801,1251063
Female,35 - 39세,2033933,2012361,2049533,2082502,2133591,2175204,2200297,2177509,2134326,2060239,1986641,1920853,1871522,1887544,1920219,1964371,1983849,1956500,1866932,1778423,1682139,1607196,1571104,1569010,1572324,1609204,1652168,1685262,1708689,1731045,1720728,1703340,1670480,1642047
Female,40 - 44세,2102133,2140853,2119774,2083152,2044892,2026553,2017430,2079435,2113987,2168151,2204694,2222650,2193282,2149420,2069252,1995148,1932121,1879423,1895119,1928884,1975953,1988488,1961098,1871676,1783242,1686983,1611951,1575591,1573216,1576305,1612944,1655724,1688833,1712324
Female,45 - 49세,1648190,1756981,1877912,1957973,2050067,2105846,2158522,2136420,2104888,2057463,2048855,2035425,2125961,2154449,2200173,2228237,2245193,2207395,2161827,2082473,2010755,1943668,1890622,1905808,1939154,1985849,1998155,1970519,1880983,1792339,1695932,1620762,1584393,1582064
Female,50 - 54세,1244370,1276020,1322985,1425679,1551725,1638383,1753805,1874127,1961827,2078358,2127006,2174567,2153964,2123620,2058038,2056212,2046927,2137203,2160401,2208009,2238035,2253032,2215733,2170459,2091427,2019859,1952899,1899849,1914927,1948248,1994944,2007384,1979992,1890743
Female,55 - 59세,1028871,1057727,1101585,1148617,1188503,1228668,1267806,1314068,1420113,1546118,1633180,1737360,1857434,1951809,2080676,2123676,2175966,2148568,2116433,2053171,2054363,2045182,2136012,2160190,2208395,2238999,2254549,2217930,2173217,2094791,2023680,1957177,1904628,1919931
